#separator:Comma
#html:true
#notetype:GMAT MCQ
#deck:GMAT::Practice
#tags column:9
Are positive integers p and q both greater than n ?<br><br>(1) p - q is greater than n .<br><br>(2) q &gt; p,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
What is the value of xy ?<br><br>(1) y = x + 1<br><br>(2) y = x2 + 1,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"If ax + b = 0, is x &gt; 0 ?<br><br>(1) a + b &gt; 0<br><br>(2) a - b &gt; 0","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
Are the integers z and f to the right of 0 on the number line?<br><br>(1)  The product of z and f is positive.<br><br>(2)  The sum of z and f is positive.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Some of the students enrolled at College T are part-time students and the rest are full-time students.  By what percent did<br>the number of full-time students enrolled at College T increase from the fall of 1999 to the fall of 2000 ?<br><br>(1)  There were 50 more full-time students enrolled at College T in the fall of 2000 than in the fall of 1999.<br><br>(2)  The total number of students enrolled at College T increased by 5 percent from the fall of 1999 to the fall of 2000.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"If c and d are integers, is c even?<br><br>(1) c(d + 1) is even.<br><br>(2) (c + 2)(d + 4) is even.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If set S consists of the numbers 1, 5, -2, 8, and n, is 0 &lt; n &lt; 7 ?<br><br>6<br>(1)  The median of the numbers in S is less than 5.<br><br>(2)  The median of the numbers in S is greater than 1.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"Last Thursday, John assembled chairs at a rate of 3 chairs per hour for part of the day and Larry assembled no chairs.  Last<br>Friday, Larry assembled chairs at a rate of 4 chairs per hour for part of the day and John assembled no chairs.  If John and<br>Larry assembled chairs for a total of 7 hours during these two days, how many chairs did John assemble last Thursday?<br><br>(1)  During these two days, John and Larry assembled a total of 25 chairs.<br><br>(2)  During these two days, Larry assembled more chairs than John did.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
What is the value of 3n - 4 ?<br><br>(1) 6n – 10 = 30<br><br>(2) 3<br>n = 9<br>20,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"Circle C and line k lie in the xy-plane.  If circle C is centered at the origin and has radius 1, does line k intersect circle C ?<br><br>(1)  The x-intercept of line k is greater than 1.<br><br>(2)  The slope of line k is - 10<br>1 .","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"How many people received a certain survey?<br><br>(1)  Six-tenths of those who received the survey responded.<br><br>(2)  Of those who received the survey, 42 responded.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"If x and z are integers, is at least one of them even?<br><br>(1) x + z is odd.<br><br>(2) x - z is odd.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
"Three thousand families live in a certain town.  How many families who live in the town own neither a car nor a television<br>set?<br><br>(1)  Of the families who live in the town, 2,980 own a car.<br><br>(2)  Of the families who live in the town, 2,970 own both a car and a television set.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"In the fraction y<br>x , where x and y are positive integers, what is the value of y ?<br><br>(1)  The least common denominator of y<br>x and 3<br>1 is 6.<br><br>(2)  x = 1.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"There are two types of rolls on a counter, plain rolls and seeded rolls.  What is the total number of rolls on the counter?<br><br>7<br>(1)  The ratio of the number of seeded rolls on the counter to the number of plain rolls on the counter is 1 to 5.<br><br>(2)  There are 16 more plain rolls than seeded rolls on the counter.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
Is the hundredths digit of the decimal d greater than 5 ?<br><br>(1)   The tenths digit of 10d is 7.<br><br>(2)   The thousandths digit of 10<br>d is 7.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
What is the value of 2x + 2y ?<br><br>(1)   3x + 5y = 60<br><br>(2)   5x + 3y = 68,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,C,,GMAT::DataInsights::DataSufficiency
"Whenever Martin has a restaurant bill with an amount between $10 and $99, he calculates the dollar amount of the tip as 2<br>times the tens digit of the amount of his bill.  If the amount of Martin&#x27;s most recent restaurant bill was between $10 and<br>$99, was the tip calculated by Martin on this bill greater than 15 percent of the amount of the bill?<br><br>(1)  The amount of the bill was between $15 and $50.<br><br>(2)  The tip calculated by Martin was $8.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,B,,GMAT::DataInsights::DataSufficiency
"For Manufacturer M, the cost C of producing x units of its product per month is given by C = kx + t, where C is in dollars and<br>k and t are constants.  Last month, if Manufacturer M produced 1,000 units of its product and sold all the units for k + 60<br>dollars each, what was Manufacturer M&#x27;s gross profit on the 1,000 units?<br><br>(1)  Last month, Manufacturer M&#x27;s revenue from the sale of the 1,000 units was $150,000.<br><br>(2)  Manufacturer M&#x27;s cost of producing 500 units in a month is $45,000 less than its cost of producing 1,000 units in a<br>month.","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,E,,GMAT::DataInsights::DataSufficiency
"The symbol @ represents one of the four arithmetic operations:  addition, subtraction, multiplication, and division.<br><br>Is (5 @ 6) @ 2 = 5 @ (6 @ 2) ?<br><br>(1) 5 @ 6 = 6 @ 5<br><br>(2) 2 @ 0 = 2","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
"If y is an integer and y = |x | + x, is y = 0 ?<br><br>(1) x &lt; 0<br><br>(2) y &lt; 1","Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,D,,GMAT::DataInsights::DataSufficiency
Is the positive integer n an odd integer?<br><br>(1) n + 4 is a prime number.<br><br>(2) n + 3 is not a prime number.,"Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient.","Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient.","BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient.",EACH statement ALONE is sufficient.,Statements (1) and (2) TOGETHER are NOT sufficient.,A,,GMAT::DataInsights::DataSufficiency
